Poem,Title,Nationality,Century,Gender
"Forgive me, soldier.
Forgive my right hand
for pointing you
to the flawless
tree line now
outlined in my brain.
There was so much
bloodsky at daybreak
in Pleiku, but I won’t say
those infernal guns
blinded me on that hill.
Mistakes piled up men like clouds
pushed to the dark side.
Sometimes I try to retrace
them, running
fingers down the map
telling less than a woman’s body—
we followed the grid coordinates
in some battalion commander’s mind.
If I could make my mouth
unsay those orders,
I’d holler: Don’t
move a muscle. Stay put,
keep your fucking head
down, soldier.
Ambush. Gutsmoke.
Last night while making love
I cried out, Hit the dirt!
I’ve tried to swallow my tongue.
You were a greenhorn, so fearless,
even foolish, & when I said go,
Henry, you went dancing on a red string
of bullets from that tree line
as it moved from a low cloud.",Please,American,20th-century,Male
"Sunset and evening star,
      And one clear call for me!
And may there be no moaning of the bar,
      When I put out to sea,
   But such a tide as moving seems asleep,
      Too full for sound and foam,
When that which drew from out the boundless deep
      Turns again home.
   Twilight and evening bell,
      And after that the dark!
And may there be no sadness of farewell,
      When I embark;
   For tho' from out our bourne of Time and Place
      The flood may bear me far,
I hope to see my Pilot face to face
      When I have crost the bar.",Crossing the Bar,English,19th-century,Male
"(from Macbeth, spoken by Lady Macbeth)



The raven himself is hoarseThat croaks the fatal entrance of DuncanUnder my battlements. Come, you spiritsThat tend on mortal thoughts, unsex me here,And fill me, from the crown to the toe, top-fullOf direst cruelty! Make thick my blood,Stop up th' access and passage to remorse,That no compunctious visitings of natureShake my fell purpose, nor keep peace betweenThe effect and it! Come to my woman's breasts,And take my milk for gall, you murd'ring ministers,Wherever in your sightless substancesYou wait on nature's mischief! Come, thick night,And pall thee in the dunnest smoke of hell,That my keen knife see not the wound it makes,Nor heaven peep through the blanket of the dark,To cry ""Hold, hold!""",Speech: “The raven himself is hoarse”,English,16th-century,Male
"A poet!—He hath put his heart to school,Nor dares to move unpropped upon the staffWhich art hath lodged within his hand—must laughBy precept only, and shed tears by rule.Thy Art be Nature; the live current quaff,And let the groveller sip his stagnant pool,In fear that else, when Critics grave and coolHave killed him, Scorn should write his epitaph.How does the Meadow-flower its bloom unfold?Because the lovely little flower is freeDown to its root, and, in that freedom, bold;And so the grandeur of the Forest-treeComes not by casting in a formal mould,But from its own divine vitality.",A Poet! He Hath Put his Heart to School,English,19th-century,Male
"Of Glory not a Beam is left
But her Eternal House –
The Asterisk is for the Dead,
The Living, for the Stars –",Of Glory not a Beam is left (1685),American,19th-century,Female
"Nuns fret not at their convent’s narrow room; And hermits are contented with their cells; And students with their pensive citadels; Maids at the wheel, the weaver at his loom, Sit blithe and happy; bees that soar for bloom, High as the highest Peak of Furness-fells, Will murmur by the hour in foxglove bells: In truth the prison, into which we doom Ourselves, no prison is: and hence for me, In sundry moods, ’twas pastime to be bound Within the Sonnet’s scanty plot of ground; Pleased if some Souls (for such there needs must be) Who have felt the weight of too much liberty, Should find brief solace there, as I have found.",Nuns Fret Not at Their Convent’s Narrow Room,English,19th-century,Male
"i’m afraid i won’ t find the one who sees me 
 and rushes to breathe me in 
 i have a fear of seeming too desperate 
 i’m scared i will be cheated on 
 with a woman more brilliant 
 more striking 
 more of me in every way 
 terrified this will confirm what i know already 
 that i am not enough for someone to stay 
 where is the burning match that will set me on fire 
 what if i’ve already walked by the one 
 on a street corner 
 what if i’ve already been with them 
 and ruined it 
 who will love me enough to 
 spend their ener gy getting close 
 to someone so inconsistent 
 what if the one i want 
 is someone who touches me and leaves 
 and the one who doesn’ t leave 
 is someone i can’ t stand touching me 
 will it always be bad timing 
 will i ever be sure 
 will i settle 
 will i be on my own forever",,Canadian,21st-century,Female
"Whoever hath her wish, thou hast thy Will, And Will to boot, and Will in overplus; More than enough am I that vex thee still, To thy sweet will making addition thus. Wilt thou, whose will is large and spacious, Not once vouchsafe to hide my will in thine? Shall will in others seem right gracious, And in my will no fair acceptance shine? The sea, all water, yet receives rain still, And in abundance addeth to his store; So thou being rich in Will add to thy Will One will of mine, to make thy large Will more.    Let no unkind, no fair beseechers kill;    Think all but one, and me in that one Will.","Sonnet 135: Whoever hath her wish, thou hast thy Will",English,16th-century,Male
"After Hasior




They fired a bullet into the head of each question, trying to kill Kant’s unending argument with Hegel. They burned laws, moral codes, & the Golden Means. Anyone serving tea & cookies to Death, looking or acting as if he knew love, stood before the firing squad. All questions had to go. Pronoun or noun. If it crawled on busted kneecaps, whimpering & begging for mercy, it was still half of a question.                     *     *     *The little skyscraper of glass boxes sunlight strikes the same time of day at a certain angle outside Zakopane looks like condos where nimble ghosts still stand up to the darkest answers. No, I can’t hear one voice pleading. But I do hear gusts coming down from the hills. No, you’re wrong again. The crow perched on the totem is real. Look at how the light lifts off its wings, but I wish I could understand what it is he’s trying to say. I think I heard a name.",Memory of the Murdered Professors at the Jagiellonian,American,20th-century,Male
"Mother! whose virgin bosom was uncrostWith the least shade of thought to sin allied.Woman! above all women glorified,Our tainted nature's solitary boast;Purer than foam on central ocean tost;Brighter than eastern skies at daybreak strewnWith fancied roses, than the unblemished moonBefore her wane begins on heaven's blue coast;Thy image falls to earth. Yet some, I ween,Not unforgiven the suppliant knee might bend,As to a visible Power, in which did blendAll that was mixed and reconciled in theeOf mother's love with maiden purity,Of high with low, celestial with terrene!",The Virgin,English,19th-century,Male
"Behold her, single in the field,Yon solitary Highland Lass!Reaping and singing by herself;Stop here, or gently pass!Alone she cuts and binds the grain,And sings a melancholy strain;O listen! for the Vale profoundIs overflowing with the sound.No Nightingale did ever chauntMore welcome notes to weary bandsOf travellers in some shady haunt,Among Arabian sands:A voice so thrilling ne'er was heardIn spring-time from the Cuckoo-bird,Breaking the silence of the seasAmong the farthest Hebrides.Will no one tell me what she sings?—Perhaps the plaintive numbers flowFor old, unhappy, far-off things,And battles long ago:Or is it some more humble lay,Familiar matter of to-day?Some natural sorrow, loss, or pain,That has been, and may be again?Whate'er the theme, the Maiden sangAs if her song could have no ending;I saw her singing at her work,And o'er the sickle bending;—I listened, motionless and still;And, as I mounted up the hill,The music in my heart I bore,Long after it was heard no more.",The Solitary Reaper,English,19th-century,Male
"Devouring Time, blunt thou the lion's paws,
And make the earth devour her own sweet brood;
Pluck the keen teeth from the fierce tiger's jaws,
And burn the long-liv'd Phoenix in her blood;
Make glad and sorry seasons as thou fleets,
And do whate'er thou wilt, swift-footed Time,
To the wide world and all her fading sweets;
But I forbid thee one more heinous crime:
O, carve not with the hours my love's fair brow,
Nor draw no lines there with thine antique pen!
Him in thy course untainted do allow
For beauty's pattern to succeeding men.
Yet do thy worst, old Time! Despite thy wrong
My love shall in my verse ever live young.","Sonnet 19: Devouring Time, blunt thou the lion's paws",English,16th-century,Male
"In this short Life that only lasts an hour
How much - how little - is within our power",In this short Life that only lasts an hour (1292),American,19th-century,Female
"When, in disgrace with fortune and men’s eyes,
I all alone beweep my outcast state,
And trouble deaf heaven with my bootless cries,
And look upon myself and curse my fate,
Wishing me like to one more rich in hope,
Featured like him, like him with friends possessed,
Desiring this man’s art and that man’s scope,
With what I most enjoy contented least;
Yet in these thoughts myself almost despising,
Haply I think on thee, and then my state,
(Like to the lark at break of day arising
From sullen earth) sings hymns at heaven’s gate;
       For thy sweet love remembered such wealth brings
       That then I scorn to change my state with kings.","Sonnet 29: When, in disgrace with fortune and men’s eyes",English,16th-century,Male
"When Eduard Raban, coming along the passage, walked into the
open doorway, he saw that it was raining. It was not raining much.
                                        KAFKA, Wedding Preparations in the Country



The concept is interesting: to see, as though reflected
In streaming windowpanes, the look of others through
Their own eyes. A digest of their correct impressions of
Their self-analytical attitudes overlaid by your
Ghostly transparent face. You in falbalas
Of some distant but not too distant era, the cosmetics,
The shoes perfectly pointed, drifting (how long you
Have been drifting; how long I have too for that matter)
Like a bottle-imp toward a surface which can never be
         approached,
Never pierced through into the timeless energy of a present
Which would have its own opinions on these matters,
Are an epistemological snapshot of the processes
That first mentioned your name at some crowded cocktail
Party long ago, and someone (not the person addressed)
Overheard it and carried that name around in his wallet
For years as the wallet crumbled and bills slid in
And out of it. I want that information very much today,
Can't have it, and this makes me angry.
I shall use my anger to build a bridge like that
Of Avignon, on which people may dance for the feeling
Of dancing on a bridge. I shall at last see my complete face
Reflected not in the water but in the worn stone floor of my bridge.
I shall keep to myself.
I shall not repeat others' comments about me.",Wet Casements,American,20th-century,Male
"Crumbling is not an instant's Act
A fundamental pause
Dilapidation's processes
Are organized Decays —
'Tis first a Cobweb on the Soul
A Cuticle of Dust
A Borer in the Axis
An Elemental Rust —
Ruin is formal — Devil's work
Consecutive and slow —
Fail in an instant, no man did
Slipping — is Crashe's law —",Crumbling is not an instant's Act (1010),American,19th-century,Female
"The room I entered was a dream of   this room.
Surely all those feet on the sofa were mine.
The oval portrait
of   a dog was me at an early age.
Something shimmers, something is hushed up.
We had macaroni for lunch every day
except Sunday, when a small quail was induced
to be served to us. Why do I tell you these things?
You are not even here.",This Room,American,20th-century,Male
"That time of year thou mayst in me behold
When yellow leaves, or none, or few, do hang
Upon those boughs which shake against the cold,
Bare ruin'd choirs, where late the sweet birds sang.
In me thou see'st the twilight of such day
As after sunset fadeth in the west,
Which by and by black night doth take away,
Death's second self, that seals up all in rest.
In me thou see'st the glowing of such fire
That on the ashes of his youth doth lie,
As the death-bed whereon it must expire,
Consum'd with that which it was nourish'd by.
This thou perceiv'st, which makes thy love more strong,
To love that well which thou must leave ere long.",Sonnet 73: That time of year thou mayst in me behold,English,16th-century,Male
"You left me – Sire – two Legacies –
A Legacy of Love
A Heavenly Father would suffice
Had He the offer of –
You left me Boundaries of Pain –
Capacious as the Sea –
Between Eternity and Time –
Your Consciousness – and me –",You left me – Sire – two Legacies – (713),American,19th-century,Female
"Scorn not the Sonnet; Critic, you have frowned, Mindless of its just honours; with this key Shakespeare unlocked his heart; the melody Of this small lute gave ease to Petrarch's wound; A thousand times this pipe did Tasso sound; With it Camöens soothed an exile's grief; The Sonnet glittered a gay myrtle leaf Amid the cypress with which Dante crowned His visionary brow: a glow-worm lamp, It cheered mild Spenser, called from Faery-land To struggle through dark ways; and, when a damp Fell round the path of Milton, in his hand The Thing became a trumpet; whence he blew Soul-animating strains—alas, too few!",Scorn not the Sonnet,English,19th-century,Male
"I know that I shall meet my fate Somewhere among the clouds above; Those that I fight I do not hate, Those that I guard I do not love; My country is Kiltartan Cross, My countrymen Kiltartan’s poor, No likely end could bring them loss Or leave them happier than before. Nor law, nor duty bade me fight, Nor public men, nor cheering crowds, A lonely impulse of delight Drove to this tumult in the clouds; I balanced all, brought all to mind, The years to come seemed waste of breath, A waste of breath the years behind In balance with this life, this death.",An Irish Airman foresees his Death,Irish,20th-century,Male
"Old as I am
This candle I light
For you today
May be the last one
Of your afterlife
With me, your son—
With me you die twice.",Commemoration,American,20th-century,Male
"The Mushroom is the Elf of Plants -
At Evening, it is not
At Morning, in a Truffled Hut
It stop opon a Spot
As if it tarried always
And yet it’s whole Career
Is shorter than a Snake’s Delay -
And fleeter than a Tare -
’Tis Vegetation’s Juggler -
The Germ of Alibi -
Doth like a Bubble antedate
And like a Bubble, hie -
I feel as if the Grass was pleased
To have it intermit -
This surreptitious Scion
Of Summer’s circumspect.
Had Nature any supple Face
Or could she one contemn -
Had Nature an Apostate -
That Mushroom - it is Him!",The Mushroom is the Elf of Plants - (1350),American,19th-century,Female
"Love is my sin, and thy dear virtue hate,Hate of my sin, grounded on sinful loving.O, but with mine compare thou thine own state,And thou shalt find it merits not reproving;Or if it do, not from those lips of thine,That have profaned their scarlet ornamentsAnd sealed false bonds of love as oft as mine, Robbed others’ beds’ revenues of their rents.Be it lawful I love thee as thou lov’st thoseWhom thine eyes woo as mine importune thee:Root pity in thy heart, that, when it grows, Thy pity may deserve to pitied be.     If thou dost seek to have what thou dost hide,    By self-example mayst thou be denied.","Sonnet 142: Love is my sin, and thy dear virtue hate",English,16th-century,Male
"Shooting pleasures   
Ok’d by
My being seen
For
Or as
If.
                   *
Not just light
at the end of the tunnel,
but hearts, bows, rainbows—
all the stickers
teachers award if pleased.
                   *
Pigeons bathe in technicolor   
fluid “of a morning.”
                   *
If I was banging
my head with a shoe,
I was just exaggerating—
like raising my voice   
or the ante.
Curlicues
on iron gratings:
Can it be
a flourish is a grimace,
but a grimace isn’t a flourish?
                   *
On the inscribed surface
of sleep.
Almost constant   
bird soundings.
“Aloha, Fruity Pebbles!”
Music, useful
for abstracting emphasis.
Sweet nothing   
to do with me.",Confidential,American,21st-century,Female
"Ring out, wild bells, to the wild sky,   The flying cloud, the frosty light:   The year is dying in the night;Ring out, wild bells, and let him die.Ring out the old, ring in the new,   Ring, happy bells, across the snow:   The year is going, let him go;Ring out the false, ring in the true.Ring out the grief that saps the mind   For those that here we see no more;   Ring out the feud of rich and poor,Ring in redress to all mankind.Ring out a slowly dying cause,   And ancient forms of party strife;   Ring in the nobler modes of life,With sweeter manners, purer laws.Ring out the want, the care, the sin,   The faithless coldness of the times;   Ring out, ring out my mournful rhymesBut ring the fuller minstrel in.Ring out false pride in place and blood,   The civic slander and the spite;   Ring in the love of truth and right,Ring in the common love of good.Ring out old shapes of foul disease;   Ring out the narrowing lust of gold;   Ring out the thousand wars of old,Ring in the thousand years of peace.Ring in the valiant man and free,   The larger heart, the kindlier hand;   Ring out the darkness of the land,Ring in the Christ that is to be.",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 106,English,19th-century,Male
"At the corner of Wood Street, when daylight appears,Hangs a Thrush that sings loud, it has sung for three years:Poor Susan has passed by the spot, and has heardIn the silence of morning the song of the Bird.'Tis a note of enchantment; what ails her? She seesA mountain ascending, a vision of trees;Bright volumes of vapour through Lothbury glide,And a river flows on through the vale of Cheapside.Green pastures she views in the midst of the dale,Down which she so often has tripped with her pail;And a single small cottage, a nest like a dove's,The one only dwelling on earth that she loves.She looks, and her heart is in heaven: but they fade,The mist and the river, the hill and the shade:The stream will not flow, and the hill will not rise,And the colours have all passed away from her eyes!",The Reverie of Poor Susan,English,19th-century,Male
"i am confident i am over you. so much that some mornings i wake up with a 
 smile on my face and my hands pressed together thanking the universe for 
 pulling you out of me. thank god i cry. thank god you left. i would not be 
 the empire i am today if you had stayed. 
 but then. 
 there are some nights i imagine what i might do if you showed up. how if 
 you walked into the room this very second every awful thing you’ve ever 
 done would be tossed out the closest window and all the love would rise up 
 again. it would pour through my eyes as if it never really left in the first 
 place. as if it’s been practicing how to stay silent so long only so it could be 
 this loud on your arrival. can someone explain that. how even when the 
 love leaves. it doesn’t leave. how even when i am so past you. i am so 
 helplessly brought back to you.",,Canadian,21st-century,Female
Light was on its wayfrom nothingto nowhere.Light was all business        Light was full speedwhen it got interrupted.Interrupted by what?When it got tangled upand brokeinto opposite       broke into brand new things.           What kinds of things?       Drinking Cup              “Thinking of you!                          Convenience Valet”How could speed take shape?                       *Hush!Do you want me to start over?                       *    The fading laser pulse        Information describing the fading laser pulseis stored        is encodedin the spin statesof atoms.God is balancing his checkbook        God is encrypting his account.This is taking forever!,Accounts,American,21st-century,Female
"The Bustle in a House
The Morning after Death
Is solemnest of industries
Enacted opon Earth –
The Sweeping up the Heart
And putting Love away
We shall not want to use again
Until Eternity –",The Bustle in a House (1108),American,19th-century,Female
"he ended up at a hospital 
 somewhere in the middle of america 
 with his appendix moments away 
 from bursting 
 when the doctor told him 
 they had to get him into sur gery immediately 
 he looked at her and said 
 i can’ t affor d it 
 can this wait until i get back home to canada 
 when do you get back home the doctor asked 
 in thr ee days he responded 
 and she looked at him like he must 
 be out of his mind 
 luckily 
 she didn’ t have it in her 
 to let him risk his life 
 she performed the sur gery for free that night 
 and you want to know what my dad did 
 right after they stitched him up 
 he walked out of the hospital 
 climbed into his truck 
 finished the delivery 
 and spent three days driving back home 
 why would you put yourself thr ough that i ask 
 he shrugs his shoulders and tells me 
 my boss wouldn’ t get me a flight home 
 wher e would i leave my truck",,Canadian,21st-century,Female
"I never hear that one is dead
Without the chance of Life
Afresh annihilating me
That mightiest Belief,
Too mighty for the Daily mind
That tilling it’s abyss,
Had Madness, had it once or, Twice
The yawning Consciousness,
Beliefs are Bandaged, like the Tongue
When Terror were it told
In any Tone commensurate
Would strike us instant Dead -
I do not know the man so bold
He dare in lonely Place
That awful stranger - Consciousness
Deliberately face -",I never hear that one is dead (1325),American,19th-century,Female
"Highlight Actions
Enable or disable annotations




I started Early – Took my Dog –
And visited the Sea –
The Mermaids in the BasementBasement i.e., the bottom of the ocean
Came out to look at me –
And FrigatesFrigates fast and highly maneuverable warships of the 18th and 19th centuries, used to escort other larger ships, or to patrol the coast and blockade harbors – in the Upper Floor
Extended Hempen HandsHempen Hands strong, thick ropes made of hemp, used on ships –
Presuming Me to be a Mouse –
Aground – oponopon upon the Sands –
But no Man moved Me – till the Tide
Went past my simple Shoe –
And past my Apron – and my Belt
And past my BoddiceBoddice bodice; an upper part of a woman’s dress, or a rigid, laced corset worn underneath clothing, covering the upper part of a woman’s body – too –
And made as He would eat me up –
As wholly as a Dew
Opon a Dandelion's Sleeve –
And then – I started – too –
And He – He followed – close behind –
I felt His Silver Heel
Opon my Ancle – Then My Shoes
Would overflow with Pearl –
Until We met the Solid Town –
No One He seemed to know –
And bowing – with a Mighty look –
At me – The Sea withdrew –",I started Early – Took my Dog – (656),American,19th-century,Female
"you said. if it is meant to be. fate will bring us back together. for a second i 
 wonder if you are really that naive. if you really believe fate works like that. 
 as if it lives in the sky staring down at us. as if it has five fingers and spends 
 its time placing us like pieces of chess. as if it is not the choices we make. 
 who taught you that. tell me. who convinced you. you’ve been given a heart 
 and a mind that isn’t yours to use. that your actions do not define what will 
 become of you. i want to scream and shout 
 it’s us you fool. we’re the only 
 ones that can bring us back together 
 . but instead i sit quietly. smiling softly 
 through quivering lips thinking. isn’t it such a tragic thing. when you can 
 see it so clearly but the other person doesn’t.",,Canadian,21st-century,Female
"Let me not thirst with this Hock at my Lip, Nor beg, with domains in my pocket—",Let me not thirst with this Hock at my Lip,American,19th-century,Female
"The unpurged images of day recede;
The Emperor's drunken soldiery are abed;
Night resonance recedes, night-walkers' song
After great cathedral gong;
A starlit or a moonlit dome disdains
All that man is,
All mere complexities,
The fury and the mire of human veins.
Before me floats an image, man or shade,
Shade more than man, more image than a shade;
For Hades' bobbin bound in mummy-cloth
May unwind the winding path;
A mouth that has no moisture and no breath
Breathless mouths may summon;
I hail the superhuman;
I call it death-in-life and life-in-death.
Miracle, bird or golden handiwork,
More miracle than bird or handiwork,
Planted on the starlit golden bough,
Can like the cocks of Hades crow,
Or, by the moon embittered, scorn aloud
In glory of changeless metal
Common bird or petal
And all complexities of mire or blood.
At midnight on the Emperor's pavement flit
Flames that no faggot feeds, nor steel has lit,
Nor storm disturbs, flames begotten of flame,
Where blood-begotten spirits come
And all complexities of fury leave,
Dying into a dance,
An agony of trance,
An agony of flame that cannot singe a sleeve.
Astraddle on the dolphin's mire and blood,
Spirit after spirit! The smithies break the flood,
The golden smithies of the Emperor!
Marbles of the dancing floor
Break bitter furies of complexity,
Those images that yet
Fresh images beget,
That dolphin-torn, that gong-tormented sea.",Byzantium,Irish,20th-century,Male
"Stiff stilts of   herself.Silver bag of   herselfwith turquoise giltmidriff.(Shake it butno more will fit.)Red lipstick linebetween the folds — precise — opposite baby’s softgurgling.Have you lost yourpasses?Greeks pictured the afterlifeas an insipid versionof  the world they knew.But they couldn’tsee this.Two women,with red mesh crestsatop white hair,enter the lounge area;one laughs, “I feellike we shouldsay something.”",Lounge Area,American,21st-century,Female
"(from Romeo and Juliet, spoken by Juliet)



O Romeo, Romeo, wherefore art thou Romeo?Deny thy father and refuse thy name.Or if thou wilt not, be but sworn my loveAnd I’ll no longer be a Capulet.‘Tis but thy name that is my enemy:Thou art thyself, though not a Montague.What’s Montague? It is nor hand nor footNor arm nor face nor any other partBelonging to a man. O be some other name.What’s in a name? That which we call a roseBy any other name would smell as sweet;So Romeo would, were he not Romeo call’d,Retain that dear perfection which he owesWithout that title. Romeo, doff thy name,And for that name, which is no part of thee,Take all myself.","Speech: “O Romeo, Romeo, wherefore art thou Romeo?”",English,16th-century,Male
"O, call not me to justify the wrongThat thy unkindness lays upon my heart;Wound me not with thine eye but with thy tongue;Use power with power, and slay me not by art.Tell me thou lov’st elsewhere; but in my sight, Dear heart, forbear to glance thine eye aside;What need’st thou wound with cunning when thy mightIs more than my o’erpressed defense can bide?Let me excuse thee: ah, my love well knowsHer pretty looks have been mine enemies;And therefore from my face she turns my foes,That they elsewhere might dart their injuries—    Yet do not so; but since I am near slain,    Kill me outright with looks and rid my pain.","Sonnet 139: O, call not me to justify the wrong",English,16th-century,Male
"for years they were separated by oceans 
 left with nothing but little photographs of each other 
 smaller than passport-size photos 
 hers was tucked into a golden locket 
 his slipped inside his wallet 
 at the end of the day 
 when their worlds went quiet 
 studying them was their only intimacy 
 this was a time long before computers 
 when families in that part of the world 
 had not seen a telephone or laid their 
 almond eyes on a colored television screen 
 long before you and i 
 as the wheels of the plane touched tarmac 
 she wondered if this was the place 
 had she boarded the right flight 
 should’ve asked the air hostess twice 
 like her husband suggested 
 walking into baggage claim 
 her heart beat so heavy 
 she thought it might fall out 
 eyes darting in every direction 
 searching for what to do next when 
 suddenly 
 right there 
 in the flesh 
 he stood 
 not a mirage—a man 
 first came relief 
 then bewilderment 
 they’d imagined this reunion for years 
 had rehearsed their lines 
 but her mouth seemed to for get",,Canadian,21st-century,Female
"Old warder of these buried bones,
         And answering now my random stroke
         With fruitful cloud and living smoke,
Dark yew, that graspest at the stones
And dippest toward the dreamless head,
         To thee too comes the golden hour
         When flower is feeling after flower;
But Sorrow—fixt upon the dead,
And darkening the dark graves of men,—
         What whisper'd from her lying lips?
         Thy gloom is kindled at the tips,
And passes into gloom again.",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 39,English,19th-century,Male
