Poet,Poem,Title,Nationalty,Century,Gender
Kay Ryan,"It seems like you could, but
 you can’t go back and pull

the roots and runners and replant.

It’s all too deep for that.

You’ve overprized intention,

have mistaken any bent you’re given

for control. You thought you chose

the bean and chose the soil.

You even thought you abandoned

one or two gardens. But those things

keep growing where we put them—

if we put them at all.

A certain kind of Eden holds us thrall.

Even the one vine that tendrils out alone

in time turns on its own impulse,

twisting back down its upward course

a strong and then a stronger rope,

the greenest saddest strongest

kind of hope.",A Certain Kind of Eden,American,20th-century,Female
Emily Dickinson,"To fight aloud, is very brave - 
But gallanter, I know
Who charge within the bosom
The Calvalry of Wo - 
Who win, and nations do not see - 
Who fall - and none observe - 
Whose dying eyes, no Country
Regards with patriot love - 
We trust, in plumed procession
For such, the Angels go -
Rank after Rank, with even feet -
And Uniforms of snow.",To fight aloud is very brave - (138),American,19th-century,Female
Emily Dickinson,"I like to see it lap the Miles -
And lick the Valleys up - 
And stop to feed itself at Tanks - 
And then - prodigious step
Around a Pile of Mountains - 
And supercilious peer
In Shanties - by the sides of Roads - 
And then a Quarry pare
To fit its sides
And crawl between
Complaining all the while
In horrid - hooting stanza - 
Then chase itself down Hill - 
And neigh like Boanerges - 
Then - prompter than a Star
Stop - docile and omnipotent
At it's own stable door -",I like to see it lap the Miles - (383),American,19th-century,Female
William Shakespeare,"No, Time, thou shalt not boast that I do change:Thy pyramids built up with newer mightTo me are nothing novel, nothing strange;They are but dressings of a former sight.Our dates are brief, and therefore we admireWhat thou dost foist upon us that is old,And rather make them born to our desireThan think that we before have heard them told.Thy registers and thee I both defy,Not wondering at the present nor the past;For thy records and what we see doth lie,Made more or less by that continual haste.   This I do vow, and this shall ever be:   I will be true, despite thy scythe and thee.","Sonnet 123: No, Time, thou shalt not boast that I do change",English,16th-century,Male
William Shakespeare,"’Tis better to be vile than vile esteemedWhen not to be receives reproach of being, And the just pleasure lost, which is so deemedNot by our feeling but by others' seeing.For why should others’ false adulterate eyesGive salutation to my sportive blood?Or on my frailties why are frailer spies, Which in their wills count bad that I think good?No, I am that I am; and they that levelAt my abuses reckon up their own:I may be straight though they themselves be bevel;By their rank thoughts my deeds must not be shown,     Unless this general evil they maintain:    All men are bad and in their badness reign.",Sonnet 121: 'Tis better to be vile than vile esteemed,English,16th-century,Male
William Shakespeare,"Beshrew that heart that makes my heart to groanFor that deep wound it gives my friend and me:Is’t not enough to torture me alone,But slave to slavery my sweet’st friend must be?Me from myself thy cruel eye hath taken,And my next self thou harder hast engrossed;Of him, myself, and thee I am forsaken,A torment thrice threefold thus to be crossed. Prison my heart in thy steel bosom's ward, But then my friend's heart let my poor heart bail;Whoe’er keeps me, let my heart be his guard:Thou canst not then use rigour in my jail.    And yet thou wilt; for I, being pent in thee,     Perforce am thine, and all that is in me.",Sonnet 133: Beshrew that heart that makes my heart to groan,English,16th-century,Male
William Shakespeare,"O, call not me to justify the wrongThat thy unkindness lays upon my heart;Wound me not with thine eye but with thy tongue;Use power with power, and slay me not by art.Tell me thou lov’st elsewhere; but in my sight, Dear heart, forbear to glance thine eye aside;What need’st thou wound with cunning when thy mightIs more than my o’erpressed defense can bide?Let me excuse thee: ah, my love well knowsHer pretty looks have been mine enemies;And therefore from my face she turns my foes,That they elsewhere might dart their injuries—    Yet do not so; but since I am near slain,    Kill me outright with looks and rid my pain.","Sonnet 139: O, call not me to justify the wrong",English,16th-century,Male
William Shakespeare,"Love is my sin, and thy dear virtue hate,Hate of my sin, grounded on sinful loving.O, but with mine compare thou thine own state,And thou shalt find it merits not reproving;Or if it do, not from those lips of thine,That have profaned their scarlet ornamentsAnd sealed false bonds of love as oft as mine, Robbed others’ beds’ revenues of their rents.Be it lawful I love thee as thou lov’st thoseWhom thine eyes woo as mine importune thee:Root pity in thy heart, that, when it grows, Thy pity may deserve to pitied be.     If thou dost seek to have what thou dost hide,    By self-example mayst thou be denied.","Sonnet 142: Love is my sin, and thy dear virtue hate",English,16th-century,Male
William Shakespeare,"My love is as a fever, longing stillFor that which longer nurseth the disease,Feeding on that which doth preserve the ill,Th’ uncertain sickly appetite to please.My reason, the physician to my love,Angry that his prescriptions are not kept, Hath left me, and I desperate now approveDesire is death, which physic did except.Past cure I am, now reason is past care, And frantic-mad with evermore unrest;My thoughts and my discourse as madmen’s are,At random from the truth vainly expressed:    For I have sworn thee fair, and thought thee bright,    Who art as black as hell, as dark as night.","Sonnet 147: My love is as a fever, longing still",English,16th-century,Male
Emily Dickinson,"The Soul has Bandaged moments -
When too appalled to stir -
She feels some ghastly Fright come up
And stop to look at her -
Salute her, with long fingers -
Caress her freezing hair -
Sip, Goblin, from the very lips
The Lover - hovered - o'er -
Unworthy, that a thought so mean
Accost a Theme - so - fair -
The soul has moments of escape -
When bursting all the doors -
She dances like a Bomb, abroad,
And swings opon the Hours,
As do the Bee - delirious borne -
Long Dungeoned from his Rose -
Touch Liberty - then know no more -
But Noon, and Paradise
The Soul's retaken moments -
When, Felon led along,
With shackles on the plumed feet,
And staples, in the song,
The Horror welcomes her, again,
These, are not brayed of Tongue -",The Soul has Bandaged moments - (360),American,19th-century,Female
Emily Dickinson,"Banish Air from Air -
Divide Light if you dare -
They'll meet
While Cubes in a Drop
Or Pellets of Shape
Fit -
Films cannot annul
Odors return whole
Force Flame
And with a Blonde push
Over your impotence
Flits Steam.",Banish Air from Air - (963),American,19th-century,Female
Emily Dickinson,"A not admitting of the wound
Until it grew so wide
That all my Life had entered it
And there were troughs beside -
A closing of the simple lid that opened to the sun
Until the tender Carpenter
Perpetual nail it down -",A not admitting of the wound (1188),American,19th-century,Female
Emily Dickinson,"In this short Life that only lasts an hour
How much - how little - is within our power",In this short Life that only lasts an hour (1292),American,19th-century,Female
Emily Dickinson,"I never hear that one is dead
Without the chance of Life
Afresh annihilating me
That mightiest Belief,
Too mighty for the Daily mind
That tilling it’s abyss,
Had Madness, had it once or, Twice
The yawning Consciousness,
Beliefs are Bandaged, like the Tongue
When Terror were it told
In any Tone commensurate
Would strike us instant Dead -
I do not know the man so bold
He dare in lonely Place
That awful stranger - Consciousness
Deliberately face -",I never hear that one is dead (1325),American,19th-century,Female
Emily Dickinson,"The Mushroom is the Elf of Plants -
At Evening, it is not
At Morning, in a Truffled Hut
It stop opon a Spot
As if it tarried always
And yet it’s whole Career
Is shorter than a Snake’s Delay -
And fleeter than a Tare -
’Tis Vegetation’s Juggler -
The Germ of Alibi -
Doth like a Bubble antedate
And like a Bubble, hie -
I feel as if the Grass was pleased
To have it intermit -
This surreptitious Scion
Of Summer’s circumspect.
Had Nature any supple Face
Or could she one contemn -
Had Nature an Apostate -
That Mushroom - it is Him!",The Mushroom is the Elf of Plants - (1350),American,19th-century,Female
Emily Dickinson,"Glass was the Street - in Tinsel Peril
Tree and Traveller stood.
Filled was the Air with merry venture
Hearty with Boys the Road.
Shot the lithe Sleds like Shod vibrations
Emphacized and gone
It is the Past’s supreme italic
Makes the Present mean -",Glass was the Street - in Tinsel Peril (1518),American,19th-century,Female
Emily Dickinson,The morns are meeker than they were -  The nuts are getting brown - The berry’s cheek is plumper - The rose is out of town.    The maple wears a gayer scarf - The field a scarlet gown - Lest I sh'd be old-fashioned  I’ll put a trinket on.,The morns are meeker than they were - (32),American,19th-century,Female
Emily Dickinson,"A Bird, came down the Walk -  He did not know I saw - He bit an Angle Worm in halves  And ate the fellow, raw,    And then, he drank a Dew From a convenient Grass - And then hopped sidewise to the Wall  To let a Beetle pass -   He glanced with rapid eyes, That hurried all abroad - They looked like frightened Beads, I thought, He stirred his Velvet Head. -    Like one in danger, Cautious, I offered him a Crumb, And he unrolled his feathers,  And rowed him softer Home -   Than Oars divide the Ocean, Too silver for a seam, Or Butterflies, off Banks of Noon,  Leap, plashless as they swim.","A Bird, came down the Walk - (359)",American,19th-century,Female
John Ashbery,"Not the smoothness, not the insane clocks on the square,
the scent of manure in the municipal parterre,
not the fabrics, the sullen mockery of Tweety Bird,
not the fresh troops that needed freshening up. If it occurred
in real time, it was OK, and if it was time in a novel
that was OK too. From palace and hovel
the great parade flooded avenue and byway
and turnip fields became just another highway.
Leftover bonbons were thrown to the chickens
and geese, who squawked like the very dickens.
There was no peace in the bathroom, none in the china closet
or the banks, where no one came to make a deposit.
In short all hell broke loose that wide afternoon.
By evening all was calm again. A crescent moon
hung in the sky like a parrot on its perch.
Departing guests smiled and called, ""See you in church!""
For night, as usual, knew what it was doing,
providing sleep to offset the great ungluing
that tomorrow again would surely bring.
As I gazed at the quiet rubble, one thing
puzzled me: What had happened, and why?
One minute we were up to our necks in rebelliousness,
and the next, peace had subdued the ranks of hellishness.
So often it happens that the time we turn around in
soon becomes the shoal our pathetic skiff will run aground in.
And just as waves are anchored to the bottom of the sea
we must reach the shallows before God cuts us free.",A Worldly Country,American,20th-century,Male
Emily Dickinson,"I would not paint — a picture —
I'd rather be the One
It's bright impossibility
To dwell — delicious — on —
And wonder how the fingers feel
Whose rare — celestial — stir —
Evokes so sweet a torment —
Such sumptuous — Despair —
I would not talk, like Cornets —
I'd rather be the One
Raised softly to the Ceilings —
And out, and easy on —
Through Villages of Ether —
Myself endued Balloon
By but a lip of Metal —
The pier to my Pontoon —
Nor would I be a Poet —
It's finer — Own the Ear —
Enamored — impotent — content —
The License to revere,
A privilege so awful
What would the Dower be,
Had I the Art to stun myself
With Bolts — of Melody!",I would not paint — a picture — (348),American,19th-century,Female
Emily Dickinson,"The Poets light but Lamps —
Themselves — go out —
The Wicks they stimulate
If vital Light
Inhere as do the Suns —
Each Age a Lens
Disseminating their
Circumference —",The Poets light but Lamps — (930),American,19th-century,Female
Emily Dickinson,"Crumbling is not an instant's Act
A fundamental pause
Dilapidation's processes
Are organized Decays —
'Tis first a Cobweb on the Soul
A Cuticle of Dust
A Borer in the Axis
An Elemental Rust —
Ruin is formal — Devil's work
Consecutive and slow —
Fail in an instant, no man did
Slipping — is Crashe's law —",Crumbling is not an instant's Act (1010),American,19th-century,Female
Emily Dickinson,"Tell all the truth but tell it slant —
Success in Circuit lies
Too bright for our infirm Delight
The Truth's superb surprise
As Lightning to the Children eased
With explanation kind
The Truth must dazzle gradually
Or every man be blind —",Tell all the truth but tell it slant — (1263),American,19th-century,Female
Emily Dickinson,"Now I knew I lost her —
Not that she was gone —
But Remoteness travelled
On her Face and Tongue.
Alien, though adjoining
As a Foreign Race —
Traversed she though pausing
Latitudeless Place.
Elements Unaltered —
Universe the same
But Love's transmigration —
Somehow this had come —
Henceforth to remember
Nature took the Day
I had paid so much for —
His is Penury
Not who toils for Freedom
Or for Family
But the Restitution
Of Idolatry.",Now I knew I lost her — (1274),American,19th-century,Female
Emily Dickinson,"Fame is the one that does not stay —
It's occupant must die
Or out of sight of estimate
Ascend incessantly —
Or be that most insolvent thing
A Lightning in the Germ —
Electrical the embryo
But we demand the Flame",Fame is the one that does not stay — (1507),American,19th-century,Female
William Shakespeare,"(from Macbeth, spoken by Macbeth)



Tomorrow, and tomorrow, and tomorrow,Creeps in this petty pace from day to day,To the last syllable of recorded time;And all our yesterdays have lighted foolsThe way to dusty death. Out, out, brief candle!Life's but a walking shadow, a poor player,That struts and frets his hour upon the stage,And then is heard no more. It is a taleTold by an idiot, full of sound and fury,Signifying nothing.","Speech: “Tomorrow, and tomorrow, and tomorrow”",English,16th-century,Male
William Shakespeare,"(from Hamlet, spoken by Hamlet)



To be, or not to be, that is the question:Whether 'tis nobler in the mind to sufferThe slings and arrows of outrageous fortune,Or to take arms against a sea of troublesAnd by opposing end them. To die—to sleep,No more; and by a sleep to say we endThe heart-ache and the thousand natural shocksThat flesh is heir to: 'tis a consummationDevoutly to be wish'd. To die, to sleep;To sleep, perchance to dream—ay, there's the rub:For in that sleep of death what dreams may come,When we have shuffled off this mortal coil,Must give us pause—there's the respectThat makes calamity of so long life.For who would bear the whips and scorns of time,Th'oppressor's wrong, the proud man's contumely,The pangs of dispriz'd love, the law's delay,The insolence of office, and the spurnsThat patient merit of th'unworthy takes,When he himself might his quietus makeWith a bare bodkin? Who would fardels bear,To grunt and sweat under a weary life,But that the dread of something after death,The undiscovere'd country, from whose bournNo traveller returns, puzzles the will,And makes us rather bear those ills we haveThan fly to others that we know not of?Thus conscience does make cowards of us all,And thus the native hue of resolutionIs sicklied o'er with the pale cast of thought,And enterprises of great pitch and momentWith this regard their currents turn awryAnd lose the name of action.","Speech: “To be, or not to be, that is the question”",English,16th-century,Male
William Shakespeare,"(from As You Like It, spoken by Jaques)



                                        All the world’s a stage,",Speech: “All the world’s a stage”,English,16th-century,Male
William Shakespeare,"(from Henry V, spoken by King Henry)



This day is called the feast of Crispian:He that outlives this day, and comes safe home,Will stand a tip-toe when the day is named,And rouse him at the name of Crispian.He that shall live this day, and see old age,Will yearly on the vigil feast his neighbours,And say ‘To-morrow is Saint Crispian:’Then will he strip his sleeve and show his scars.And say ‘These wounds I had on Crispin’s day.’Old men forget: yet all shall be forgot,But he’ll remember with advantagesWhat feats he did that day: then shall our names.Familiar in his mouth as household wordsHarry the king, Bedford and Exeter,Warwick and Talbot, Salisbury and Gloucester,Be in their flowing cups freshly remember’d.This story shall the good man teach his son;And Crispin Crispian shall ne’er go by,From this day to the ending of the world,But we in it shall be remember’d;We few, we happy few, we band of brothers;For he to-day that sheds his blood with meShall be my brother; be he ne’er so vile,This day shall gentle his condition:And gentlemen in England now a-bedShall think themselves accursed they were not here,And hold their manhoods cheap whiles any speaksThat fought with us upon Saint Crispin’s day.",Speech: “This day is called the feast of Crispian”,English,16th-century,Male
William Shakespeare,"(from Julius Caesar, spoken by Marc Antony)



Friends, Romans, countrymen, lend me your ears;I come to bury Caesar, not to praise him.The evil that men do lives after them;The good is oft interred with their bones;So let it be with Caesar. The noble BrutusHath told you Caesar was ambitious:If it were so, it was a grievous fault,And grievously hath Caesar answer’d it.Here, under leave of Brutus and the rest–For Brutus is an honourable man;So are they all, all honourable men–Come I to speak in Caesar’s funeral.He was my friend, faithful and just to me:But Brutus says he was ambitious;And Brutus is an honourable man.He hath brought many captives home to RomeWhose ransoms did the general coffers fill:Did this in Caesar seem ambitious?When that the poor have cried, Caesar hath wept:Ambition should be made of sterner stuff:Yet Brutus says he was ambitious;And Brutus is an honourable man.You all did see that on the LupercalI thrice presented him a kingly crown,Which he did thrice refuse: was this ambition?Yet Brutus says he was ambitious;And, sure, he is an honourable man.I speak not to disprove what Brutus spoke,But here I am to speak what I do know.You all did love him once, not without cause:What cause withholds you then, to mourn for him?O judgment! thou art fled to brutish beasts,And men have lost their reason. Bear with me;My heart is in the coffin there with Caesar,And I must pause till it come back to me.","Speech: “Friends, Romans, countrymen, lend me your ears”",English,16th-century,Male
William Shakespeare,"(from Richard II, spoken by King Richard)



No matter where; of comfort no man speak:Let’s talk of graves, of worms, and epitaphs;Make dust our paper and with rainy eyesWrite sorrow on the bosom of the earth,Let’s choose executors and talk of wills:And yet not so, for what can we bequeathSave our deposed bodies to the ground?Our lands, our lives and all are Bolingbroke’s,And nothing can we call our own but deathAnd that small model of the barren earthWhich serves as paste and cover to our bones.For God’s sake, let us sit upon the groundAnd tell sad stories of the death of kings;How some have been deposed; some slain in war,Some haunted by the ghosts they have deposed;Some poison’d by their wives: some sleeping kill’d;All murder’d: for within the hollow crownThat rounds the mortal temples of a kingKeeps Death his court and there the antic sits,Scoffing his state and grinning at his pomp,Allowing him a breath, a little scene,To monarchize, be fear’d and kill with looks,Infusing him with self and vain conceit,As if this flesh which walls about our life,Were brass impregnable, and humor’d thusComes at the last and with a little pinBores through his castle wall, and farewell king!Cover your heads and mock not flesh and bloodWith solemn reverence: throw away respect,Tradition, form and ceremonious duty,For you have but mistook me all this while:I live with bread like you, feel want,Taste grief, need friends: subjected thus,How can you say to me, I am a king?",Speech: “No matter where; of comfort no man speak”,English,16th-century,Male
William Shakespeare,"(from Macbeth, spoken by Macbeth)



Is this a dagger which I see before me, The handle toward my hand? Come, let me clutch thee. I have thee not, and yet I see thee still. Art thou not, fatal vision, sensible To feeling as to sight? or art thou but A dagger of the mind, a false creation, Proceeding from the heat-oppressed brain? I see thee yet, in form as palpable As this which now I draw. Thou marshall'st me the way that I was going; And such an instrument I was to use. Mine eyes are made the fools o' the other senses, Or else worth all the rest; I see thee still, And on thy blade and dudgeon gouts of blood, Which was not so before. There's no such thing: It is the bloody business which informs Thus to mine eyes. Now o'er the one halfworld Nature seems dead, and wicked dreams abuse The curtain'd sleep; witchcraft celebrates Pale Hecate's offerings, and wither'd murder, Alarum'd by his sentinel, the wolf, Whose howl's his watch, thus with his stealthy pace. With Tarquin's ravishing strides, towards his design Moves like a ghost. Thou sure and firm-set earth, Hear not my steps, which way they walk, for fear Thy very stones prate of my whereabout, And take the present horror from the time, Which now suits with it. Whiles I threat, he lives: Words to the heat of deeds too cold breath gives.                                     [a bell rings] I go, and it is done; the bell invites me. Hear it not, Duncan; for it is a knell That summons thee to heaven or to hell.",Speech: “Is this a dagger which I see before me”,English,16th-century,Male
William Shakespeare,"(from Macbeth, spoken by Lady Macbeth)



The raven himself is hoarseThat croaks the fatal entrance of DuncanUnder my battlements. Come, you spiritsThat tend on mortal thoughts, unsex me here,And fill me, from the crown to the toe, top-fullOf direst cruelty! Make thick my blood,Stop up th' access and passage to remorse,That no compunctious visitings of natureShake my fell purpose, nor keep peace betweenThe effect and it! Come to my woman's breasts,And take my milk for gall, you murd'ring ministers,Wherever in your sightless substancesYou wait on nature's mischief! Come, thick night,And pall thee in the dunnest smoke of hell,That my keen knife see not the wound it makes,Nor heaven peep through the blanket of the dark,To cry ""Hold, hold!""",Speech: “The raven himself is hoarse”,English,16th-century,Male
